file_id,contact_id,reference,nuance,genesys,microsoft,microsoft_dlm
123500_NaimaF,123500.0,J'aimerais transférer trois mille cinq cent soixante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais verser cent quatre-vingt-dix-neuf dollars  a début de chaque mois sur mon compte Bell.,J'aimerais transférer 3564 $ de mon compte chèque à mon compte départ j'aimerais verser 199 $ à début de chaque mois sur mon compte bell,j'aimerais transférer trois mille cinq cent soixante quatre dollars de mon compte chèque à mon car départ je l'ai versé cent quatre vingt dix neuf dollars à début de chaque mois sur mon compte d'elle,"J'aimerais transférer 3564,00$ de mon compte chèque à  mon compte d'épargne. J'aimerais verser 199$ à  début de chaque mois sur mon compte Bell.","J'aimerais transférer 3564,00$ de mon compte chèque à mon compte d'épargne. J'aimerais verser 199$ à début de chaque mois sur mon compte Bell."
123501_NaimaF,123501.0,Transfert  six mille dollars et sept cent quatre vingt et neuf mille neuf cent soixante onze dollars de mon compte CELI le 11 novembre,Transfert 6000 $ 704-9960 11 $ de mon compte CELI le 11 novembre,de transfert six mille dollars sept cent quatre un et neuf mille neuf cent soixante onze dollars de mon compte si le onze novembre,"Transfert 6000,07$ 80 et 9971$ de mon compte, celi le 11 novembre.","Transfert 6000,07$ 80 et 9971$ de mon compte, celi le 11 novembre."
123502_NaimaF,123502.0,Transfert de cinquante-et-un mille sept cent soixante-six dollars  et six mille six cent cinquante-deux dollars  de mon compte CELI le 29 décembre une fois cette année.  ,Transfert de 51 766 $ et 6652 $ de mon compte CELI le 29 décembre une fois cette année,trois transfert de cinquante et un mille sept cent soixante six dollars et six mille six cent cinquante deux dollars de mon compte celui le vingt neuf décembre une fois cette année,"Transfert de 51766,00$ 6652,00$ de mon compte, celui le 29 décembre. Une fois cette année.","Transfert de 51766,00$ 6652$ de mon compte celi le 29 décembre une fois cette année."
123503_NaimaF,123503.0,Transfer deux mille treize dollars a mon compte REER  au premier janvier 2022 ,Transfert 2013 $ à mon compte REER au 1er janvier 2022,quatre transfert deux mille treize dollars ramon contraire au premier janvier a menti,Transfert 2013$ à  mon compte aéré au 1 janvier 2022.,Transfert 2013$ à mon compte air au 1 janvier 2022.
123504_NaimaF,123504.0,Je veux faire un dépôt de cinq mille deux cent quarante-trois dollars et aussi trente-sept mille dollars et  quatre cent soixante-cinq le 18 novembre 2021,Je veux faire un dépôt de 5243 $ et aussi 37 000 $ et 465 le 18 novembre 2021,cinq je vais faire un dépôt de cinq mille deux cent quarante trois dollars réussi trente sept mille dollars et quatre cent soixante cinq le dix huit novembre deux mille vingt et un,"Je veux faire un dépôt de 5243,00$ aussi 37000,04$ 65 le 18 novembre 2021.","Je veux faire un dépôt de 5243,00$ aussi 37000,04$ 65 le 18 novembre 2021."
123505_NaimaF,123505.0,Je dois faire un transfert international de trois mille six cent soixante-six dollars à mon oncle au Quebec  le 31 octobre 2021,Je dois faire un transfert international de 3666 $ à mon oncle à Québec le 31 octobre 2021,je dois faire un transfert international de trois mille six cent soixante six dollars à mon oncle à québec le trente et un octobre deux mille vingt et,"Je dois faire un transfert international de 3666$ à  mon oncle à  Québec, le 31 octobre 2021.","Je dois faire un transfert international de 3666$ à mon oncle à Québec, le 31 octobre 2021."
123506_NaimaF,123506.0,J'aimerais céduler un paiement mensuel de vingt sept dollar et cinquante cinq sous qui sera versé tous les 15 du mois à partir d'octobre. ,"J'aimerais c'est Jul un paiement mensuel de 27,55 $ qui sera versé tous les 15 du mois à partir d'octobre",j'aimerais cédule mon mensuel de vingt sept dollars et cinquante cinq sous qui se traversée tous les quinze du mois à partir d'octobre,"J'aimerais, c'est du lait. Un paiement mensuel de 27,55$ sous qui sera versé tous les 15 du mois à  partir d'octobre.","J'aimerais, c'est du lait. Un paiement mensuel de 27,55$ sous qui sera versé tous les 15 du mois à partir d'octobre."
123507_NaimaF,123507.0,J'aimerais céduler un paiement mensuel de soixante cinq dollar et Trente-trois sous qui sera versé tous les 29 du mois à partir d'mars 2022. ,"J'aimerais céduler un paiement mensuel de 65,33 $ qui sera versé tous les 29 du mois à partir de mars 2022",huit j'aime schéduler un paiement mensuel de soixante cinq dollars et trente trois sous qui sera versé tous les vingt neuf du mois à partir de mars deux mille vingt deux,"J'aimerais, c'est du lait. Un paiement mensuel de 65,33$ sous qui sera versé tous les 29 du mois à  partir de mars 2022.","J'aimerais, c'est du lait. Un paiement mensuel de 65,33$ sous qui sera versé tous les 29 du mois à partir de mars 2022."
123508_NaimaF,123508.0,Transfer cinq mille quatre vingt dollars a mon compte REER  au 16  avril 2022 ,Transfert 5080 $ à mon compte REER le 16 avril 2022,neuf transfère cinq mille quatre vingt dollars à mon compter le seize avril deux mille vingt,Transfert 5080$ à  mon compte réer le 16 avril 2022.,"Transfert, 5000, quatre-vingts dollars à mon compte réer le 16 avril 2022."
123509_NaimaF,123509.0,moi j'aimerais transférer deux mille soixante-dix-sept dollars au Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre,Moi j'aimerais transférer 2077 $ à Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre,ou moi j'aimerais transférer deux mille soixante dix sept dollars à trois rivières s'il vous plait de manquante américain de dix huit décent,"Moi, j'aimerais transférer 2077$ à  Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre.",Moi j'aimerais transférer 2077$ au à Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre.
123510_NaimaF,123510.0,Transfer trente-trois mille cent douze dollars et trente-trois mille deux cent quatorze dollars,Transfère 33 112 $ et 33 214 $,un transfert trente trois mille cent douze dollars et trente trois mille deux cent quatorze dollars,"Transfert 33112,33$ 1214,00$.","Transfert 33112,00$, 33214$."
123511_NaimaF,123511.0,J'aimerais transférer quatre mille six cent cinquante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais aussi verser trois cent quatre-vingt-dix-huit dollars  a la fin de chaque mois sur mon compte Bell.,J'aimerais transférer 4654 $ de mon compte chèques à mon compte d'épargne j'aimerais aussi verser 398 $ à la fin de chaque mois sur mon compte bell,je m'a transféré quatre mille six cent cinquante quatre dollars de mon coche man on d'épargne j'aimerais aussi verser trois cent quatre vingt dix huit dollars à la fin de a moi sur mon compte,"Je vais mettre transférer 4654$ de mon compte chèque à  mon compte d'épargne, j'aimerais aussi verser 300 quatre-vingt-dix-huit dollars à  la fin de chaque mois sur mon compte Bell.","J'aimerais transférer 4654$ de mon compte chèque à mon compte d'épargne, j'aimerais aussi verser 398$ à la fin de chaque mois sur mon compte Bell."
123512_NaimaF,123512.0,Transfert  huit mille dollars et huit cent soizante dix a mon compte REER et un autre neuf mille soixante onze dollars et cinquante six sous de mon compte CELI le 11 novembre,"Transfère 8000 $ et 80 70 à mon compte REER et un autre 9060 11,56 $ de mon compte CELI le 11 novembre",aie transfert huit mille dollars et huit cent soixante dix à mon contraire et un autre neuf mille soixante onze dollars et cinquante six sous de mon quant cédé le onze,"Transfert 8000,08$ 70. à€ mon contraire et à  un autre 9071,56$ sous de mon quantilly le 11 novembre.","Transfère 8000,08$ 70 à mon contraire et à un autre 9071,56$ sous de mon quantité celi le 11 novembre."
