file_id,reference,nuance,genesys,microsoft
9140581227040000251_NajatS,non je l'attends par la poste [hésitation] moi je viens de payer dix piasses [hésitation] je voudrais voir si c'est confirmé si ça été payé je l'ai fait par accès d là,non je l'attends par la poste moi je viens de payer dix dollars je voudrais savoir si c'est confirmé si ça été payé je l'ai fait par accéder là,non je l'attends par la poste moi je vais payer dix pièces je voudrais savoir si c'est confirmé si ça a été payé je l'ai fait par accéder là,non je l'attends par la poste moi je viens de payer dix pièces je voudrais savoir si c'est confirmé si ça a été payé je l'ai fait par accéder là 
9140581227040000251_Anne,non je l'attends par la poste [hésitation] moi je viens de payer dix piasses [hésitation] je voudrais voir si c'est confirmé si ça été payé je l'ai fait par accès d là,non je l'attends par la poste moi j'ai payé dix dollars je voudrais voir si c'est confirmé si ça été payé je l'ai fait par accèsd là,non je l'attends par la poste moi j'ai payé dix pièces je voudrais voir si c'est confirmé si ça a été payé je l'ai fait accéder là,non je l'attends par la poste moi j'aime payer dix piastres je voudrais voir si c'est confirmé si ça a été payé je l'ai faite par accès d là 
9140581227040000251_Charles,non je l'attends par la poste [hésitation] moi je viens de payer dix piasses [hésitation] je voudrais voir si c'est confirmé si ça été payé je l'ai fait par accès d là,non je l'attends par la poste moi je viens de payer dix dollars je voudrais avoir c'est confirmé si ça été payé je l'ai fait avec accèsd là,non je l'attends par la poste moi je vais payer dix pièces je voudrais avoir ces confirmer si ça a été payé je l'ai fait avec accédé là,non je l'attends par la poste moi j'ai payé dix piastres je voudrais voir si c'est confirmé si ça a été payé je l'ai fait avec accès d là 
9140615705680000251_NaimaF, oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée,oui bon ben j'ai attendu pas mal à dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée, oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon notre côté mon autre compte est fermé mon autre façon d'aller en ligne fermé,oui bon ben j'ai attendu pendant la dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée
9140615705680000251_NajatS, oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée,oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon côté mon autre compte est fermé mon façon de longue ligne fermer, oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté on notre compte est fermée mais en doute façon d'ars en ligne fermé,oui bon ben j'ai attendu pas mal la dernière minute là je dois creer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée
9140617105160000251_AwaS,oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,oui écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque bla bla bla en ligne avait été interrompue pis on m'a dit appeler numéro que j'ai déjà signalé et auquel vous répondez,oui écoutez j'appelle parce qu'on m'a dit que maligne avait avec ma banque blablabla en ligne avait été interrompus et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,oui écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque bla bla bla en ligne avait été interrompu et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez
9140617105160000251_Charles,oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,oui écoutez j'appelle parce qu'on m'a dit que ma ligne avec ma banque en ligne avait été interrompue pis on m'a dit d'appeler au numéro que j'ai déjà signalé qu'elle vous répondez,que oui écoutez j'appelle parce qu'on m'a dit que la ligne avec ma banque en ligne avait été interrompu et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,oui écoutez j'appelle parce qu'on m'a dit que ma ligne avec ma banque en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez
9140617105160000251_NaimaF,oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque en ligne avait été interrompue pis on m'a dit d'appeler au numéro que j'ai déjà signalé qu'elle vous répondez,bin écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque que en ligne avait été interrompu et on m'a dit d'appeler au que j'ai déjà signalé et auquel vous répondez,écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez
9140639978890000251_Anne,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion,oui bonjour monsieur j'appelle pour un renseignement en puis j'aimerais creer mon compte en ligne pour en fait ma compagnie de question,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion
9140639978890000251_NaimaF,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion,et oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion,oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais creer mon compte en ligne pour en fait ma compagnie de gestion
9140642108800000251_Charles,[hésitation] moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la banque nationale là et pour payer transférer puis envoyer des sous là ça marche pas,moi j'ai un problème je voudrais je sais pas si ça ça fonctionne pas je me suis connecté à la banque nationale là pour payer transférer pis envoyer des sous là ça marche pas, moi j'ai un problème je voudrais je sais pas si ça ça fonctionne pas je me suis connecté à la banque sale et pour payer transférer puis envoyer des sous là ça marche pas,moi j'ai un problème je voudrais je sais pas si ça ça fonctionne pas je me suis connecté à la banque nationale là et pour payer transférer puis envoyer des sous la ça marche pas
9140642108800000251_NaimaF,[hésitation] moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la banque nationale là et pour payer transférer puis envoyer des sous là ça marche pas,moi j'ai un problème je voudrais juste c'est pas ça ça fonctionne pas je suis connecté à la banque nationale là pour payer transférer puis envoyer des sous là ça marche pas, moi j'ai un problème je voudrais je sais ah h ça fonctionne pas je connecté à la banque nationale là et pour te transférer puis envoyer des sous là ça marche pas,moi j'ai un problème je voudrais je sais pas ça ça fonctionne pas je me suis connectée à la banque nationale la et pour payer transférer puis envoyer des sous la ça marche pas
