file_id,contact_id,reference,transcription
123500_NaimaF,123500,J'aimerais transférer trois mille cinq cent soixante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais verser cent quatre-vingt-dix-neuf dollars  a début de chaque mois sur mon compte Bell.,"J'aimerais transférer 3564,00$ de mon compte chèque à mon compte d'épargne. J'aimerais verser 199$ à début de chaque mois sur mon compte Bell."
123501_NaimaF,123501,Transfert  six mille dollars et sept cent quatre vingt et neuf mille neuf cent soixante onze dollars de mon compte CELI le 11 novembre,"Transfert 6000,07$ 80 et 9971$ de mon compte, celi le 11 novembre."
123502_NaimaF,123502,Transfert de cinquante-et-un mille sept cent soixante-six dollars  et six mille six cent cinquante-deux dollars  de mon compte CELI le 29 décembre une fois cette année.,"Transfert de 51766,00$ 6652$ de mon compte celi le 29 décembre une fois cette année."
123503_NaimaF,123503,Transfer deux mille treize dollars a mon compte REER  au premier janvier 2022,Transfert 2013$ à mon compte air au 1 janvier 2022.
123504_NaimaF,123504,Je veux faire un dépôt de cinq mille deux cent quarante-trois dollars et aussi trente-sept mille dollars et  quatre cent soixante-cinq le 18 novembre 2021,"Je veux faire un dépôt de 5243,00$ aussi 37000,04$ 65 le 18 novembre 2021."
123505_NaimaF,123505,Je dois faire un transfert international de trois mille six cent soixante-six dollars à mon oncle au Quebec  le 31 octobre 2021,"Je dois faire un transfert international de 3666$ à mon oncle à Québec, le 31 octobre 2021."
123506_NaimaF,123506,J'aimerais céduler un paiement mensuel de vingt sept dollar et cinquante cinq sous qui sera versé tous les 15 du mois à partir d'octobre.,"J'aimerais, c'est du lait. Un paiement mensuel de 27,55$ sous qui sera versé tous les 15 du mois à partir d'octobre."
123507_NaimaF,123507,J'aimerais céduler un paiement mensuel de soixante cinq dollar et Trente-trois sous qui sera versé tous les 29 du mois à partir d'mars 2022.,"J'aimerais, c'est du lait. Un paiement mensuel de 65,33$ sous qui sera versé tous les 29 du mois à partir de mars 2022."
123508_NaimaF,123508,Transfer cinq mille quatre vingt dollars a mon compte REER  au 16  avril 2022,"Transfert, 5000, quatre-vingts dollars à mon compte réer le 16 avril 2022."
123509_NaimaF,123509,moi j'aimerais transférer deux mille soixante-dix-sept dollars au Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre,Moi j'aimerais transférer 2077$ au à Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre.
123510_NaimaF,123510,Transfer trente-trois mille cent douze dollars et trente-trois mille deux cent quatorze dollars,"Transfert 33112,00$, 33214$."
123511_NaimaF,123511,J'aimerais transférer quatre mille six cent cinquante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais aussi verser trois cent quatre-vingt-dix-huit dollars  a la fin de chaque mois sur mon compte Bell.,"J'aimerais transférer 4654$ de mon compte chèque à mon compte d'épargne, j'aimerais aussi verser 398$ à la fin de chaque mois sur mon compte Bell."
123512_NaimaF,123512,Transfert  huit mille dollars et huit cent soizante dix a mon compte REER et un autre neuf mille soixante onze dollars et cinquante six sous de mon compte CELI le 11 novembre,"Transfère 8000,08$ 70 à mon contraire et à un autre 9071,56$ sous de mon quantité celi le 11 novembre."
123513_NaimaF,123513,Transfert de trente-et-un mille neuf cent dix dollars  et quatre mille quatre cent cinquante-deux dollars  de mon compte CELI le 23 décembre une fois cette année.,"Transfert de 31910,00$ 4452$ de mon compte celi le 23 décembre une fois cette année."
123514_NaimaF,123514,Transfer cinq mille douze dollars a mon compte REER  au premier février 2022,Transfert 5012$ à mon compte réer le 1 février 2022.
